[error][2015-06-25 15:46:37-4263800] game exception happens while execute action:INFO[gameuid=1,code:1000]	message:INFO[gameuid=1,code:1000]	message:defination of id[80000] not exist in xml,db_type is item
[error][2015-06-25 21:47:03-17128100] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:item[80000] of user[10] not enough,need[1] own[0]
[error][2015-06-25 21:56:26-11955300] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80
[error][2015-06-25 21:56:50-5414300] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80
[error][2015-06-25 22:00:38-58113300] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80
[error][2015-06-25 22:01:50-67528700] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80 , oldpower = 
[error][2015-06-25 22:02:45-92636700] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80 , oldpower = 
[error][2015-06-25 22:23:21-28258500] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80 , oldpower = 
[error][2015-06-25 22:26:37-51872500] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80 , oldpower = 
[error][2015-06-25 22:28:06-1642200] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 80 , totalpower = 80 , oldpower = 0
[error][2015-06-25 22:44:24-67992500] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 180 , totalpower = 80 , oldpower = 10
[error][2015-06-25 22:44:37-94340800] game exception happens while execute action:INFO[gameuid=1,code:1011]	message:INFO[gameuid=1,code:1011]	message:power is not enough ,cur power = 180 , totalpower = 80 , oldpower = 10
